ds,y
2022-03-12,7821
2022-03-19,7754
2022-03-26,7902
2022-04-02,8143
2022-04-09,8304
2022-04-16,7986
2022-04-23,7832
2022-04-30,7965
2022-05-07,7743
2022-05-14,7598
2022-05-21,7489
2022-05-28,7326
2022-06-04,7254
2022-06-11,7198
2022-06-18,7265
2022-06-25,7312
2022-07-02,7456
2022-07-09,7528
2022-07-16,7602
2022-07-23,7698
2022-07-30,7854
2022-08-06,8012
2022-08-13,8245
2022-08-20,8743
2022-08-27,9128
2022-09-03,9875
2022-09-10,9342
2022-09-17,8956
2022-09-24,8754
2022-10-01,9123
2022-10-08,9876
2022-10-15,10543
2022-10-22,12876
2022-10-29,13542
2022-11-05,11243
2022-11-12,10432
2022-11-19,9876
2022-11-26,9453
2022-12-03,9876
2022-12-10,10432
2022-12-17,11543
2022-12-24,12876
2022-12-31,13254
2023-01-07,11432
2023-01-14,10543
2023-01-21,9876
2023-01-28,9243
2023-02-04,8976
2023-02-11,8765
2023-02-18,8543
2023-02-25,8342
2023-03-04,8132
2023-03-11,8043
2023-03-18,7943
2023-03-25,8087
2023-04-01,8342
2023-04-08,8487
2023-04-15,8213
2023-04-22,8054
2023-04-29,8123
2023-05-06,7932
2023-05-13,7812
2023-05-20,7698
2023-05-27,7543
2023-06-03,7432
2023-06-10,7354
2023-06-17,7421
2023-06-24,7498
2023-07-01,7654
2023-07-08,7754
2023-07-15,7843
2023-07-22,7932
2023-07-29,8054
2023-08-05,8243
2023-08-12,8543
2023-08-19,9054
2023-08-26,9543
2023-09-02,10132
2023-09-09,9654
2023-09-16,9243
2023-09-23,9054
2023-09-30,9354
2023-10-07,10154
2023-10-14,11243
2023-10-21,13465
2023-10-28,14132
2023-11-04,11743
2023-11-11,10865
2023-11-18,10354
2023-11-25,9876
2023-12-02,10243
2023-12-09,10987
2023-12-16,12154
2023-12-23,13543
2023-12-30,13987
2024-01-06,11876
2024-01-13,10987
2024-01-20,10354
2024-01-27,9765
2024-02-03,9432
2024-02-10,9154
2024-02-17,8943
2024-02-24,8765
2024-03-02,8543
2024-03-09,8423
2024-03-16,8332
2024-03-23,8465
2024-03-30,8721
2024-04-06,8865
2024-04-13,8576
2024-04-20,8432
2024-04-27,8543
2024-05-04,8321
2024-05-11,8154
2024-05-18,8043
2024-05-25,7876
2024-06-01,7754
2024-06-08,7698
2024-06-15,7765
2024-06-22,7843
2024-06-29,7987
2024-07-06,8098
2024-07-13,8176
2024-07-20,8287
2024-07-27,8398
2024-08-03,8654
2024-08-10,8921
2024-08-17,9432
2024-08-24,9876
2024-08-31,10543
2024-09-07,10132
2024-09-14,9765
2024-09-21,9543
2024-09-28,9876
2024-10-05,10543
2024-10-12,11876
2024-10-19,14132
2024-10-26,14876
2024-11-02,12354
2024-11-09,11654
2024-11-16,10987
2024-11-23,10543
2024-11-30,10876
2024-12-07,11432
2024-12-14,12765
2024-12-21,14256
2024-12-28,14765
2025-01-04,12543
2025-01-11,11543
2025-01-18,10865
2025-01-25,10243
2025-02-01,9984
2025-02-08,9765
2025-02-15,9543
2025-02-22,9321
2025-03-01,9132
2025-03-08,8976
