ds,y
2022-03-06,127
2022-03-13,131
2022-03-20,128
2022-03-27,136
2022-04-03,140
2022-04-10,145
2022-04-17,153
2022-04-24,148
2022-05-01,143
2022-05-08,138
2022-05-15,135
2022-05-22,132
2022-05-29,128
2022-06-05,125
2022-06-12,129
2022-06-19,133
2022-06-26,138
2022-07-03,142
2022-07-10,146
2022-07-17,151
2022-07-24,147
2022-07-31,144
2022-08-07,149
2022-08-14,163
2022-08-21,175
2022-08-28,168
2022-09-04,155
2022-09-11,152
2022-09-18,149
2022-09-25,157
2022-10-02,168
2022-10-09,177
2022-10-16,186
2022-10-23,195
2022-10-30,178
2022-11-06,165
2022-11-13,159
2022-11-20,153
2022-11-27,149
2022-12-04,147
2022-12-11,153
2022-12-18,162
2022-12-25,171
2023-01-01,167
2023-01-08,158
2023-01-15,153
2023-01-22,149
2023-01-29,146
2023-02-05,143
2023-02-12,141
2023-02-19,139
2023-02-26,137
2023-03-05,134
2023-03-12,137
2023-03-19,142
2023-03-26,139
2023-04-02,143
2023-04-09,148
2023-04-16,153
2023-04-23,149
2023-04-30,145
2023-05-07,142
2023-05-14,139
2023-05-21,137
2023-05-28,134
2023-06-04,131
2023-06-11,135
2023-06-18,139
2023-06-25,144
2023-07-02,148
2023-07-09,152
2023-07-16,157
2023-07-23,153
2023-07-30,149
2023-08-06,154
2023-08-13,168
2023-08-20,179
2023-08-27,173
2023-09-03,162
2023-09-10,157
2023-09-17,153
2023-09-24,161
2023-10-01,172
2023-10-08,183
2023-10-15,192
2023-10-22,202
2023-10-29,185
2023-11-05,171
2023-11-12,165
2023-11-19,159
2023-11-26,155
2023-12-03,153
2023-12-10,158
2023-12-17,167
2023-12-24,177
2023-12-31,173
2024-01-07,164
2024-01-14,158
2024-01-21,155
2024-01-28,151
2024-02-04,148
2024-02-11,145
2024-02-18,142
2024-02-25,140
2024-03-03,138
2024-03-10,142
2024-03-17,147
2024-03-24,143
2024-03-31,148
2024-04-07,154
2024-04-14,159
2024-04-21,155
2024-04-28,151
2024-05-05,147
2024-05-12,144
2024-05-19,141
2024-05-26,138
2024-06-02,136
2024-06-09,140
2024-06-16,144
2024-06-23,149
2024-06-30,153
2024-07-07,158
2024-07-14,163
2024-07-21,158
2024-07-28,154
2024-08-04,159
2024-08-11,174
2024-08-18,185
2024-08-25,179
2024-09-01,167
2024-09-08,163
2024-09-15,159
2024-09-22,166
2024-09-29,177
2024-10-06,189
2024-10-13,198
2024-10-20,207
2024-10-27,191
2024-11-03,177
2024-11-10,171
2024-11-17,164
2024-11-24,160
2024-12-01,157
2024-12-08,163
2024-12-15,172
2024-12-22,182
2024-12-29,178
2025-01-05,169
2025-01-12,163
2025-01-19,159
2025-01-26,155
2025-02-02,152
2025-02-09,149
2025-02-16,147
2025-02-23,144
2025-03-02,142
