ds,y
2022-03-13,456
2022-03-20,478
2022-03-27,462
2022-04-03,487
2022-04-10,501
2022-04-17,530
2022-04-24,524
2022-05-01,489
2022-05-08,472
2022-05-15,468
2022-05-22,452
2022-05-29,470
2022-06-05,465
2022-06-12,458
2022-06-19,467
2022-06-26,472
2022-07-03,483
2022-07-10,491
2022-07-17,503
2022-07-24,522
2022-07-31,541
2022-08-07,567
2022-08-14,632
2022-08-21,754
2022-08-28,863
2022-09-04,975
2022-09-11,1087
2022-09-18,1243
2022-09-25,1356
2022-10-02,1478
2022-10-09,1625
2022-10-16,1842
2022-10-23,2134
2022-10-30,2357
2022-11-06,1965
2022-11-13,1732
2022-11-20,1584
2022-11-27,1465
2022-12-04,1356
2022-12-11,1432
2022-12-18,1567
2022-12-25,1734
2023-01-01,1432
2023-01-08,876
2023-01-15,765
2023-01-22,678
2023-01-29,589
2023-02-05,546
2023-02-12,512
2023-02-19,487
2023-02-26,462
2023-03-05,478
2023-03-12,486
2023-03-19,502
2023-03-26,485
2023-04-02,497
2023-04-09,512
2023-04-16,545
2023-04-23,532
2023-04-30,495
2023-05-07,478
2023-05-14,475
2023-05-21,469
2023-05-28,487
2023-06-04,478
2023-06-11,465
2023-06-18,474
2023-06-25,481
2023-07-02,496
2023-07-09,508
2023-07-16,521
2023-07-23,538
2023-07-30,558
2023-08-06,587
2023-08-13,654
2023-08-20,778
2023-08-27,896
2023-09-03,1012
2023-09-10,1134
2023-09-17,1298
2023-09-24,1414
2023-10-01,1537
2023-10-08,1689
2023-10-15,1923
2023-10-22,2232
2023-10-29,2456
2023-11-05,2076
2023-11-12,1821
2023-11-19,1654
2023-11-26,1523
2023-12-03,1432
2023-12-10,1512
2023-12-17,1631
2023-12-24,1821
2023-12-31,1487
2024-01-07,912
2024-01-14,802
2024-01-21,708
2024-01-28,612
2024-02-04,567
2024-02-11,534
2024-02-18,498
2024-02-25,487
2024-03-03,495
2024-03-10,512
2024-03-17,523
2024-03-24,508
2024-03-31,521
2024-04-07,535
2024-04-14,562
2024-04-21,548
2024-04-28,518
2024-05-05,495
2024-05-12,498
2024-05-19,485
2024-05-26,502
2024-06-02,491
2024-06-09,480
2024-06-16,487
2024-06-23,498
2024-06-30,506
2024-07-07,523
2024-07-14,538
2024-07-21,556
2024-07-28,572
2024-08-04,607
2024-08-11,675
2024-08-18,805
2024-08-25,932
2024-09-01,1048
2024-09-08,1176
2024-09-15,1345
2024-09-22,1470
2024-09-29,1598
2024-10-06,1754
2024-10-13,1998
2024-10-20,2321
2024-10-27,2543
2025-02-02,524
2025-02-09,495
2025-02-16,487
2025-02-23,467
2025-03-02,478
