ds,y
2022-03-12,345
2022-03-19,362
2022-03-26,358
2022-04-02,376
2022-04-09,382
2022-04-16,367
2022-04-23,371
2022-04-30,385
2022-05-07,391
2022-05-14,378
2022-05-21,365
2022-05-28,371
2022-06-04,368
2022-06-11,374
2022-06-18,379
2022-06-25,385
2022-07-02,392
2022-07-09,403
2022-07-16,415
2022-07-23,408
2022-07-30,395
2022-08-06,384
2022-08-13,398
2022-08-20,412
2022-08-27,429
2022-09-03,446
2022-09-10,472
2022-09-17,498
2022-09-24,517
2022-10-01,528
2022-10-08,542
2022-10-15,536
2022-10-22,543
2022-10-29,556
2022-11-05,574
2022-11-12,589
2022-11-19,592
2022-11-26,578
2022-12-03,563
2022-12-10,548
2022-12-17,541
2022-12-24,563
2022-12-31,627
2023-01-07,652
2023-01-14,598
2023-01-21,558
2023-01-28,532
2023-02-04,514
2023-02-11,487
2023-02-18,476
2023-02-25,468
2023-03-04,456
2023-03-11,463
2023-03-18,471
2023-03-25,465
2023-04-01,478
2023-04-08,487
2023-04-15,482
2023-04-22,473
2023-04-29,481
2023-05-06,486
2023-05-13,475
2023-05-20,469
2023-05-27,477
2023-06-03,483
2023-06-10,489
2023-06-17,494
2023-06-24,502
2023-07-01,511
2023-07-08,524
2023-07-15,537
2023-07-22,529
2023-07-29,518
2023-08-05,506
2023-08-12,514
2023-08-19,527
2023-08-26,543
2023-09-02,558
2023-09-09,573
2023-09-16,591
2023-09-23,613
2023-09-30,628
2023-10-07,642
2023-10-14,657
2023-10-21,664
2023-10-28,671
2023-11-04,685
2023-11-11,697
2023-11-18,703
2023-11-25,691
2023-12-02,676
2023-12-09,661
2023-12-16,654
2023-12-23,678
2023-12-30,743
2024-01-06,768
2024-01-13,712
2024-01-20,673
2024-01-27,647
2024-02-03,628
2024-02-10,603
2024-02-17,594
2024-02-24,586
2024-03-02,579
2024-03-09,584
2024-03-16,591
2024-03-23,587
2024-03-30,601
2024-04-06,613
2024-04-13,608
2024-04-20,596
2024-04-27,605
2024-05-04,612
2024-05-11,603
2024-05-18,597
2024-05-25,608
2024-06-01,616
2024-06-08,624
2024-06-15,631
2024-06-22,642
2024-06-29,653
2024-07-06,667
2024-07-13,682
2024-07-20,673
2024-07-27,658
2024-08-03,643
2024-08-10,651
2024-08-17,667
2024-08-24,683
2024-08-31,699
2024-09-07,716
2024-09-14,737
2024-09-21,763
2024-09-28,782
2024-10-05,798
2024-10-12,815
2024-10-19,823
2024-10-26,831
2024-11-02,842
2024-11-09,856
2024-11-16,863
2024-11-23,849
2024-12-07,808
2024-12-14,798
2024-12-21,816
2024-12-28,883
2025-01-04,912
2025-01-11,867
2025-01-18,824
2025-01-25,796
2025-02-01,773
2025-02-08,746
2025-02-15,729
2025-02-22,718
2025-03-01,712
2025-03-08,719
